variety_id,prime_name,color,species,origin_country,is_vinifera,classification,fps_variety_id,vivc_number,needs_review,source,notes
cabernet-sauvignon,Cabernet Sauvignon,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,Cabernet franc x Sauvignon blanc
cabernet-franc,Cabernet Franc,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
merlot,Merlot,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
malbec,Malbec,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,syn. Cot
petit-verdot,Petit Verdot,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
carmenere,Carmenere,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
pinot-noir,Pinot noir,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
pinot-gris,Pinot gris,gray,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,color mutation of Pinot
pinot-blanc,Pinot blanc,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
pinot-meunier,Meunier,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,Champagne
chardonnay,Chardonnay,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,Pinot x Gouais blanc
gamay,Gamay noir,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
aligote,Aligote,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
sauvignon-blanc,Sauvignon blanc,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
semillon,Semillon,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
chenin-blanc,Chenin blanc,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
melon,Melon de Bourgogne,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,Muscadet
colombard,Colombard,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
folle-blanche,Folle blanche,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
ugni-blanc,Ugni blanc,white,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,syn. Trebbiano Toscano
syrah,Syrah,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
grenache-noir,Grenache noir,red,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,syn. Garnacha
mourvedre,Mourvedre,red,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,syn. Monastrell
cinsaut,Cinsaut,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
carignan,Carignan,red,Vitis vinifera,Spain,1,curated_v1,,,0,curated_v1,syn. Carinena/Mazuelo
viognier,Viognier,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
marsanne,Marsanne,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
roussanne,Roussanne,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
tannat,Tannat,red,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
petit-manseng,Petit Manseng,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
gros-manseng,Gros Manseng,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,
riesling,Riesling,white,Vitis vinifera,Germany,1,curated_v1,,,0,curated_v1,
muller-thurgau,Muller-Thurgau,white,Vitis vinifera,Germany,1,curated_v1,,,0,curated_v1,Riesling x Madeleine Royale
silvaner,Silvaner,white,Vitis vinifera,Austria,1,curated_v1,,,0,curated_v1,
gewurztraminer,Gewurztraminer,rose,Vitis vinifera,Germany,1,curated_v1,,,0,curated_v1,aromatic Traminer
savagnin,Savagnin blanc,white,Vitis vinifera,France,1,curated_v1,,,0,curated_v1,Traminer; Jura
gruner-veltliner,Gruner Veltliner,white,Vitis vinifera,Austria,1,curated_v1,,,0,curated_v1,Traminer x St. Georgen
blaufrankisch,Blaufrankisch,red,Vitis vinifera,Austria,1,curated_v1,,,0,curated_v1,syn. Lemberger/Kekfrankos
zweigelt,Zweigelt,red,Vitis vinifera,Austria,1,curated_v1,,,0,curated_v1,Blaufrankisch x St. Laurent
st-laurent,St. Laurent,red,Vitis vinifera,Austria,1,curated_v1,,,0,curated_v1,
welschriesling,Welschriesling,white,Vitis vinifera,Croatia,1,curated_v1,,,0,curated_v1,Graševina
nebbiolo,Nebbiolo,red,Vitis vinifera,Italy,1,curated_v1,,,0,curated_v1,
