region_id,variety_id,role,evidence,bearing_ha,source
bordeaux,cabernet-sauvignon,signature,principal,,curated_v1
bordeaux,merlot,signature,principal,,curated_v1
bordeaux,cabernet-franc,principal,grown_over_1_acre,,curated_v1
bordeaux,petit-verdot,minor,grown_over_1_acre,,curated_v1
bordeaux,malbec,minor,grown_over_1_acre,,curated_v1
bordeaux,sauvignon-blanc,principal,grown_over_1_acre,,curated_v1
bordeaux,semillon,principal,grown_over_1_acre,,curated_v1
burgundy,pinot-noir,signature,principal,,curated_v1
burgundy,chardonnay,signature,principal,,curated_v1
burgundy,aligote,minor,grown_over_1_acre,,curated_v1
beaujolais,gamay,signature,principal,,curated_v1
beaujolais,chardonnay,minor,grown_over_1_acre,,curated_v1
champagne,chardonnay,signature,principal,,curated_v1
champagne,pinot-noir,signature,principal,,curated_v1
champagne,pinot-meunier,principal,grown_over_1_acre,,curated_v1
alsace,riesling,signature,principal,,curated_v1
alsace,gewurztraminer,signature,principal,,curated_v1
alsace,pinot-gris,principal,grown_over_1_acre,,curated_v1
alsace,pinot-blanc,principal,grown_over_1_acre,,curated_v1
alsace,silvaner,minor,grown_over_1_acre,,curated_v1
alsace,muscat-blanc,minor,grown_over_1_acre,,curated_v1
alsace,pinot-noir,minor,grown_over_1_acre,,curated_v1
loire-anjou,chenin-blanc,signature,principal,,curated_v1
loire-anjou,cabernet-franc,signature,principal,,curated_v1
loire-central,sauvignon-blanc,signature,principal,,curated_v1
loire-central,pinot-noir,principal,grown_over_1_acre,,curated_v1
rhone-north,syrah,signature,principal,,curated_v1
rhone-north,viognier,principal,grown_over_1_acre,,curated_v1
rhone-north,marsanne,principal,grown_over_1_acre,,curated_v1
rhone-north,roussanne,minor,grown_over_1_acre,,curated_v1
rhone-south,grenache-noir,signature,principal,,curated_v1
rhone-south,syrah,principal,grown_over_1_acre,,curated_v1
rhone-south,mourvedre,principal,grown_over_1_acre,,curated_v1
rhone-south,cinsaut,minor,grown_over_1_acre,,curated_v1
rhone-south,carignan,minor,grown_over_1_acre,,curated_v1
languedoc,grenache-noir,principal,principal,,curated_v1
languedoc,syrah,principal,principal,,curated_v1
languedoc,mourvedre,principal,grown_over_1_acre,,curated_v1
languedoc,carignan,principal,grown_over_1_acre,,curated_v1
languedoc,cinsaut,minor,grown_over_1_acre,,curated_v1
provence,grenache-noir,principal,principal,,curated_v1
provence,cinsaut,principal,grown_over_1_acre,,curated_v1
provence,mourvedre,principal,grown_over_1_acre,,curated_v1
provence,syrah,minor,grown_over_1_acre,,curated_v1
jura,savagnin,signature,principal,,curated_v1
jura,chardonnay,principal,grown_over_1_acre,,curated_v1
